Key,Action,Timestamp

Key.cmd,Pressed,25.054773
Key.tab,Pressed,25.099338
Key.cmd,Released,25.150099
Key.tab,Released,25.208414
g,Pressed,26.735516
g,Released,26.808462
f,Pressed,26.91747
f,Released,27.022407
h,Pressed,27.080836
h,Released,27.141816
j,Pressed,27.329227
j,Released,27.405704
d,Pressed,27.461118
d,Released,27.569675
g,Pressed,27.6392
g,Released,27.683484
d,Pressed,27.763332
d,Released,27.848889
j,Pressed,27.874995
j,Released,27.947305
Key.cmd,Pressed,28.077289
Key.tab,Pressed,28.125255
Key.cmd,Released,28.173221
Key.tab,Released,28.221641
Key.cmd,Pressed,68.37748
Key.tab,Pressed,68.466517
Key.cmd,Released,68.494203
Key.tab,Released,68.607107
Key.esc,Pressed,72.412576
Key.esc,Released,72.662694
