Key,Action,Timestamp
g,Pressed,1.111047
g,Released,1.174646
f,Pressed,1.271391
f,Released,1.350932
h,Pressed,1.40446
h,Released,1.472021
g,Pressed,1.604915
g,Released,1.680949
d,Pressed,1.728478
d,Released,1.82486
h,Pressed,1.845527
h,Released,1.91368
g,Pressed,2.042142
g,Released,2.111459
f,Pressed,2.147506
f,Released,2.228071
h,Pressed,2.256178
h,Released,2.32847
g,Pressed,2.447355
g,Released,2.504049
h,Pressed,2.631002
h,Released,2.701193
f,Pressed,2.75953
f,Released,2.828432
g,Pressed,2.864186
g,Released,2.915876
h,Pressed,3.046728
h,Released,3.127238
r,Pressed,3.169024
r,Released,3.240937
g,Pressed,3.291617
g,Released,3.347392
h,Pressed,3.685605
h,Released,3.762619
g,Pressed,3.901422
g,Released,3.958276
r,Pressed,4.016948
r,Released,4.092572
h,Pressed,4.126945
h,Released,4.200869
g,Pressed,4.316569
g,Released,4.377023
f,Pressed,4.414205
f,Released,4.510244
h,Pressed,4.517692
h,Released,4.594604
t,Pressed,4.688152
t,Released,4.748454
g,Pressed,4.861732
g,Released,4.909927
h,Pressed,5.026634
h,Released,5.10554
y,Pressed,5.169218
y,Released,5.245957
g,Pressed,5.518008
g,Released,5.610432
h,Pressed,5.683766
h,Released,5.731941
t,Pressed,5.826513
t,Released,5.922843
j,Pressed,5.959078
j,Released,6.030784
Key.esc,Pressed,7.249672
Key.esc,Released,7.334367
