Key,Action,Timestamp
Key.cmd,Pressed,1.665477
s,Pressed,1.734758
Key.cmd,Released,1.785928
s,Released,1.882393
e,Pressed,3.34417
e,Released,3.452921
r,Pressed,3.673033
r,Released,3.73245
t,Pressed,3.911412
t,Released,3.975272
h,Pressed,4.384915
h,Released,4.449176
g,Pressed,4.541992
g,Released,4.618099
y,Pressed,4.710883
y,Released,4.763327
h,Pressed,4.902031
h,Released,4.972623
t,Pressed,5.015272
t,Released,5.083418
j,Pressed,5.214796
j,Released,5.269283
g,Pressed,5.42395
g,Released,5.5222
u,Pressed,5.636373
u,Released,5.689497
h,Pressed,5.914033
h,Released,5.97496
y,Pressed,6.149895
y,Released,6.226536
j,Pressed,6.300747
j,Released,6.357055
k,Pressed,6.568155
k,Released,6.636346
u,Pressed,6.732223
u,Released,6.814785
l,Pressed,6.923192
l,Released,7.000493
i,Pressed,7.073519
i,Released,7.142604
o,Pressed,7.200949
o,Released,7.257081
p,Pressed,7.360872
p,Released,7.436248
k,Pressed,7.614011
k,Released,7.684831
h,Pressed,7.835164
h,Released,7.899397
j,Pressed,7.939067
j,Released,8.007355
j,Pressed,8.166474
j,Released,8.210202
g,Pressed,8.501919
g,Released,8.582384
h,Pressed,8.72418
h,Released,8.784547
j,Pressed,8.999215
j,Released,9.073216
y,Pressed,9.174712
y,Released,9.250996
u,Pressed,9.373965
u,Released,9.430509
t,Pressed,9.538787
t,Released,9.623138
j,Pressed,9.648793
j,Released,9.722191
g,Pressed,9.815307
g,Released,9.881636
h,Pressed,9.943859
h,Released,10.007958
b,Pressed,10.223573
b,Released,10.299153
n,Pressed,10.426903
n,Released,10.499089
v,Pressed,10.531855
v,Released,10.61268
h,Pressed,10.755832
h,Released,10.810476
g,Pressed,10.875961
g,Released,10.935984
b,Pressed,10.961263
b,Released,11.030899
j,Pressed,11.168091
j,Released,11.230535
f,Pressed,11.348059
f,Released,11.444108
b,Pressed,11.645988
b,Released,11.710344
v,Pressed,11.774356
v,Released,11.846177
n,Pressed,12.017799
n,Released,12.110377
g,Pressed,12.140372
g,Released,12.236583
h,Pressed,12.338607
